regime_id,split,option_type,q,early_exercise_risk,arm,repeat,measured_total_seconds,internal_total_seconds,solver_setup_seconds,initialization_seconds,lcp_finish_seconds,marcher_other_seconds,obstacle_transform_seconds,projected_sweep_seconds,inverse_transform_seconds,residual_audit_seconds,total_sweeps_or_iterations,converged,max_normalized_lcp_residual
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,12,0.016658042,0.01659483404364437,0.0,7.728312630206347e-05,0.014323793817311525,0.00219375710003078,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,12,0.36775687500000004,0.3676671670982614,0.0,8.070515468716621e-05,0.36522633663844317,0.0023601253051310778,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,12,0.009589375,0.009523082990199327,0.00010658300016075373,0.0,0.0070673428708687425,0.0023491571191698313,0.0003940450260415673,0.004823006573133171,3.0000461265444756e-05,0.0017659638542681932,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,13,0.009459459,0.009400292066857219,8.520798292011023e-05,0.0,0.0070358330849558115,0.002279250998981297,0.00039096514228731394,0.004810247221030295,2.957077231258154e-05,0.001751928124576807,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,13,0.016818584,0.016754499985836446,0.0,7.70010519772768e-05,0.014470421010628343,0.002207077923230827,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,13,0.366426625,0.3663378329947591,0.0,8.004158735275269e-05,0.3639555065892637,0.0023022848181426525,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,14,0.36455654200000004,0.3644635829841718,0.0,8.016149513423443e-05,0.361977503169328,0.002405918319709599,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,14,0.016626833,0.0165544580668211,0.0,8.203962352126837e-05,0.014256000402383506,0.0022164180409163237,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,14,0.009334917,0.009285332984291017,9.595905430614948e-05,0.0,0.006898209219798446,0.002291164710186422,0.00038938375655561686,0.004672336857765913,2.9578921385109425e-05,0.0017535907682031393,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,15,0.36917458400000003,0.3690742499893531,0.0,8.379342034459114e-05,0.366524756886065,0.002465699682943523,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,15,0.009649000000000001,0.009579207981005311,9.9916011095047e-05,0.0,0.007141791400499642,0.002337500569410622,0.0004712603986263275,0.004807338584214449,3.2079522497951984e-05,0.0017739174654707313,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,15,0.016766917000000003,0.016690292046405375,0.0,7.608428131788969e-05,0.014441577950492501,0.002172629814594984,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,16,0.36708783300000003,0.36699850007425994,0.0,8.449016604572535e-05,0.3643789221532643,0.0025350877549499273,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,16,0.009523084000000001,0.009449540986679494,9.887502528727055e-05,0.0,0.0069790431298315525,0.0023716228315606713,0.0003992142155766487,0.004710800596512854,3.1156581826508045e-05,0.0017829290591180325,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,16,0.016803208,0.016727124922908843,0.0,7.686985190957785e-05,0.014426915091462433,0.0022233399795368314,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,17,0.009577500000000001,0.009518750011920929,9.691598825156689e-05,0.0,0.007082461379468441,0.002339372644200921,0.0003947127843275666,0.004720428376458585,3.0914321541786194e-05,0.0018789684399962425,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,17,0.016861083000000002,0.016788500011898577,0.0,7.85323791205883e-05,0.014429375878535211,0.002280591754242778,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,17,0.371609833,0.3715146250324324,0.0,8.412334136664867e-05,0.36891291313804686,0.002517588553018868,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,18,0.36525537500000005,0.365166625007987,0.0,7.82510032877326e-05,0.3627514544641599,0.002336919540539384,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
