regime_id,option_type,q,repeat,order_position,method,elapsed_seconds,solver_reported_seconds,converged
call_T100_s020_r005_q000,call,0.0,8,1,published_dirk_p,0.601639,0.6011113340500742,True
call_T100_s020_r005_q000,call,0.0,9,0,published_dirk_p,0.591237833,0.5907587080728263,True
call_T100_s020_r005_q000,call,0.0,9,1,dirk_policy_sinh,0.704145666,0.7036074160132557,True
call_T100_s020_r005_q000,call,0.0,10,0,published_dirk_p,0.653646792,0.6530199581757188,True
call_T100_s020_r005_q000,call,0.0,10,1,dirk_policy_sinh,0.634520542,0.6340346671640873,True
call_T100_s020_r005_q000,call,0.0,11,0,dirk_policy_sinh,0.653904833,0.653427500044927,True
call_T100_s020_r005_q000,call,0.0,11,1,published_dirk_p,0.566956125,0.5664449578616768,True
call_T100_s020_r005_q000,call,0.0,12,0,dirk_policy_sinh,0.664443084,0.6639172078575939,True
call_T100_s020_r005_q000,call,0.0,12,1,published_dirk_p,0.643677709,0.6431305408477783,True
call_T100_s020_r005_q000,call,0.0,13,0,dirk_policy_sinh,0.608652708,0.6081815839279443,True
call_T100_s020_r005_q000,call,0.0,13,1,published_dirk_p,0.574561542,0.5740089169703424,True
call_T100_s020_r005_q000,call,0.0,14,0,dirk_policy_sinh,0.661615417,0.6607244168408215,True
call_T100_s020_r005_q000,call,0.0,14,1,published_dirk_p,0.563357833,0.5628546250518411,True
call_T100_s020_r005_q000,call,0.0,15,0,dirk_policy_sinh,0.691288125,0.6904221668373793,True
call_T100_s020_r005_q000,call,0.0,15,1,published_dirk_p,0.666891583,0.6661895420402288,True
call_T100_s020_r005_q000,call,0.0,16,0,dirk_policy_sinh,0.65584625,0.6553725830744952,True
call_T100_s020_r005_q000,call,0.0,16,1,published_dirk_p,0.597375833,0.5968721669632941,True
call_T100_s020_r005_q000,call,0.0,17,0,dirk_policy_sinh,0.65318425,0.6527175828814507,True
call_T100_s020_r005_q000,call,0.0,17,1,published_dirk_p,0.573864792,0.5733754171524197,True
call_T100_s020_r005_q000,call,0.0,18,0,dirk_policy_sinh,0.604545667,0.6040953751653433,True
call_T100_s020_r005_q000,call,0.0,18,1,published_dirk_p,0.560469834,0.5599542078562081,True
call_T100_s020_r005_q000,call,0.0,19,0,dirk_policy_sinh,0.585058417,0.5845967079512775,True
call_T100_s020_r005_q000,call,0.0,19,1,published_dirk_p,0.568099334,0.5676012919284403,True
call_T100_s020_r005_q000,call,0.0,20,0,published_dirk_p,0.60594675,0.6054747090674937,True
call_T100_s020_r005_q000,call,0.0,20,1,dirk_policy_sinh,0.604867417,0.6043953329790384,True
call_T100_s020_r005_q000,call,0.0,21,0,published_dirk_p,0.585014833,0.5845180419273674,True
call_T100_s020_r005_q000,call,0.0,21,1,dirk_policy_sinh,0.650211292,0.6497204580809921,True
call_T100_s020_r005_q000,call,0.0,22,0,published_dirk_p,0.596230667,0.5957267500925809,True
call_T100_s020_r005_q000,call,0.0,22,1,dirk_policy_sinh,0.704266791,0.7037664169911295,True
call_T100_s020_r005_q000,call,0.0,23,0,dirk_policy_sinh,0.657178584,0.6550698750652373,True
call_T100_s020_r005_q000,call,0.0,23,1,published_dirk_p,0.605310292,0.6046563750132918,True
call_T100_s020_r005_q000,call,0.0,24,0,published_dirk_p,0.619567834,0.6190501251257956,True
call_T100_s020_r005_q000,call,0.0,24,1,dirk_policy_sinh,0.643191625,0.6427167090587318,True
call_T100_s020_r005_q000,call,0.0,25,0,published_dirk_p,0.668458542,0.6671375830192119,True
call_T100_s020_r005_q000,call,0.0,25,1,dirk_policy_sinh,0.64301375,0.6423776668962091,True
call_T100_s020_r005_q000,call,0.0,26,0,published_dirk_p,0.651257625,0.6506212919484824,True
call_T100_s020_r005_q000,call,0.0,26,1,dirk_policy_sinh,0.756662084,0.7561212910804898,True
call_T100_s020_r005_q000,call,0.0,27,0,dirk_policy_sinh,0.669853083,0.6693363329395652,True
call_T100_s020_r005_q000,call,0.0,27,1,published_dirk_p,0.576272625,0.5757981659844518,True
call_T100_s020_r005_q000,call,0.0,28,0,published_dirk_p,0.577255584,0.5766879578586668,True
call_T100_s020_r005_q000,call,0.0,28,1,dirk_policy_sinh,0.599223416,0.5987484159413725,True
call_T100_s020_r005_q000,call,0.0,29,0,published_dirk_p,0.594033083,0.5935232918709517,True
call_T100_s020_r005_q000,call,0.0,29,1,dirk_policy_sinh,0.593017708,0.5925486669875681,True
put_T025_s020_r001_q000,put,0.0,0,0,published_dirk_p,0.584518125,0.5844619581475854,True
put_T025_s020_r001_q000,put,0.0,0,1,dirk_policy_sinh,0.593640125,0.5931787909939885,True
put_T025_s020_r001_q000,put,0.0,1,0,published_dirk_p,0.569787041,0.5693459580652416,True
put_T025_s020_r001_q000,put,0.0,1,1,dirk_policy_sinh,0.704113041,0.7036096251104027,True
put_T025_s020_r001_q000,put,0.0,2,0,published_dirk_p,0.763084625,0.7621765420772135,True
put_T025_s020_r001_q000,put,0.0,2,1,dirk_policy_sinh,0.643660583,0.6431915001012385,True
put_T025_s020_r001_q000,put,0.0,3,0,dirk_policy_sinh,0.640351333,0.639902584021911,True
put_T025_s020_r001_q000,put,0.0,3,1,published_dirk_p,0.646038666,0.6455207080580294,True
put_T025_s020_r001_q000,put,0.0,4,0,published_dirk_p,0.678225542,0.6768170420546085,True
put_T025_s020_r001_q000,put,0.0,4,1,dirk_policy_sinh,0.647995292,0.6473124171607196,True
put_T025_s020_r001_q000,put,0.0,5,0,published_dirk_p,0.637893958,0.6373995000030845,True
put_T025_s020_r001_q000,put,0.0,5,1,dirk_policy_sinh,0.653031167,0.6525265409145504,True
put_T025_s020_r001_q000,put,0.0,6,0,dirk_policy_sinh,0.631289417,0.630800416925922,True
put_T025_s020_r001_q000,put,0.0,6,1,published_dirk_p,0.642934875,0.6424362089019269,True
put_T025_s020_r001_q000,put,0.0,7,0,published_dirk_p,0.619524167,0.6189536249730736,True
put_T025_s020_r001_q000,put,0.0,7,1,dirk_policy_sinh,0.60798175,0.6073362908791751,True
put_T025_s020_r001_q000,put,0.0,8,0,published_dirk_p,0.642097875,0.6416278330143541,True
put_T025_s020_r001_q000,put,0.0,8,1,dirk_policy_sinh,0.699251042,0.6987709170207381,True
put_T025_s020_r001_q000,put,0.0,9,0,published_dirk_p,0.59145625,0.5909821670502424,True
put_T025_s020_r001_q000,put,0.0,9,1,dirk_policy_sinh,0.603025834,0.6025760408956558,True
