representation,mode,singular_value,cumulative_energy
oracle_boundary_aligned,14,1.1131114899158059,0.9847448004369875
oracle_boundary_aligned,15,1.0666913055489926,0.9864197906838033
oracle_boundary_aligned,16,0.8521058461093685,0.9874886532364319
oracle_boundary_aligned,17,0.8334766121114958,0.9885112904853924
oracle_boundary_aligned,18,0.7754170318102582,0.9893964171903569
oracle_boundary_aligned,19,0.7461929828960936,0.9902160835162096
oracle_boundary_aligned,20,0.6891948936273473,0.9909153116179622
oracle_boundary_aligned,21,0.6655588114509992,0.991567401778468
oracle_boundary_aligned,22,0.630160337152955,0.992151972287313
oracle_boundary_aligned,23,0.5979854959873556,0.9926783725203681
oracle_boundary_aligned,24,0.5797875080808637,0.9931732212731307
oracle_boundary_aligned,25,0.5373403931934932,0.9935982651357894
oracle_boundary_aligned,26,0.5268563701916207,0.994006884781578
oracle_boundary_aligned,27,0.4877475430974738,0.9943570918866936
oracle_boundary_aligned,28,0.4769225435191004,0.9946919265990526
oracle_boundary_aligned,29,0.42868712225422884,0.9949624567327352
oracle_boundary_aligned,30,0.40938545475457194,0.9952091740243197
oracle_boundary_aligned,31,0.38676911796452595,0.9954293846912261
oracle_boundary_aligned,32,0.37929108946979584,0.9956411623058753
oracle_boundary_aligned,33,0.3673398823769175,0.9958398042409625
oracle_boundary_aligned,34,0.35295786281165925,0.9960231962863468
oracle_boundary_aligned,35,0.3473573583819737,0.9962008146148658
oracle_boundary_aligned,36,0.3298519719453609,0.9963609815781637
oracle_boundary_aligned,37,0.3219196110980756,0.9965135377003428
oracle_boundary_aligned,38,0.3162923720323683,0.9966608069956063
oracle_boundary_aligned,39,0.31136136561369976,0.996803520220122
oracle_boundary_aligned,40,0.3022641452779843,0.9969380158087892
oracle_boundary_aligned,41,0.285404510212743,0.9970579260939998
oracle_boundary_aligned,42,0.27618927382591035,0.9971702179831912
oracle_boundary_aligned,43,0.2719425827775771,0.9972790832165869
oracle_boundary_aligned,44,0.2575087589919679,0.9973766987167436
oracle_boundary_aligned,45,0.2565500205225294,0.9974735886997106
oracle_boundary_aligned,46,0.2525128198723251,0.9975674532568992
oracle_boundary_aligned,47,0.2482001033372319,0.9976581389315075
oracle_boundary_aligned,48,0.24624742596530935,0.9977474033070295
oracle_boundary_aligned,49,0.24232692111713594,0.9978338479531832
oracle_boundary_aligned,50,0.22861152463254975,0.9979107842028053
oracle_boundary_aligned,51,0.2254603662941415,0.9979856141068941
oracle_boundary_aligned,52,0.22265216231678545,0.9980585915438617
oracle_boundary_aligned,53,0.2160312030634355,0.9981272932844919
oracle_boundary_aligned,54,0.20781038382473976,0.99819086578019
