case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,target_tau_fraction,target_tau,nearest_tau,time_index,boundary_found,boundary_spot,boundary_moneyness,no_boundary_reason,min_boundary_spot,max_boundary_spot,max_continuation_premium_at_tau,mean_continuation_premium_at_tau_interpretation_region,downstream_use_status
dividend_call_sigma_400,dividend_call,call_volatility_sweep,sigma,0.4,call,1,1,0.05,0.08,0.4,4,120,120,0.5,0.5,0.5,60,True,1.5664572359,1.5664572359,,1.09990188658,1.73305843928,0.103509883247,0.022038453086,analytics_diagnostic_only
dividend_call_sigma_400,dividend_call,call_volatility_sweep,sigma,0.4,call,1,1,0.05,0.08,0.4,4,120,120,0.75,0.75,0.75,90,True,1.6661653399,1.6661653399,,1.09990188658,1.73305843928,0.123768422823,0.031101492878,analytics_diagnostic_only
dividend_call_sigma_400,dividend_call,call_volatility_sweep,sigma,0.4,call,1,1,0.05,0.08,0.4,4,120,120,1,1,1,120,True,1.73305843928,1.73305843928,,1.09990188658,1.73305843928,0.139830931381,0.0393013073367,analytics_diagnostic_only
dividend_call_sigma_600,dividend_call,call_volatility_sweep,sigma,0.6,call,1,1,0.05,0.08,0.6,4,120,120,0.01,0.01,0.00833333333333,1,True,1.16623149207,1.16623149207,,1.16623149207,2.3660336615,0.0232592811427,0.00101497826368,analytics_diagnostic_only
dividend_call_sigma_600,dividend_call,call_volatility_sweep,sigma,0.6,call,1,1,0.05,0.08,0.6,4,120,120,0.25,0.25,0.25,30,True,1.73318124044,1.73318124044,,1.16623149207,2.3660336615,0.114335089035,0.0277897225661,analytics_diagnostic_only
dividend_call_sigma_600,dividend_call,call_volatility_sweep,sigma,0.6,call,1,1,0.05,0.08,0.6,4,120,120,0.5,0.5,0.5,60,True,2.03092814663,2.03092814663,,1.16623149207,2.3660336615,0.157630497776,0.0520822619024,analytics_diagnostic_only
dividend_call_sigma_600,dividend_call,call_volatility_sweep,sigma,0.6,call,1,1,0.05,0.08,0.6,4,120,120,0.75,0.75,0.75,90,True,2.19976314977,2.19976314977,,1.16623149207,2.3660336615,0.1887122696,0.07314238228,analytics_diagnostic_only
dividend_call_sigma_600,dividend_call,call_volatility_sweep,sigma,0.6,call,1,1,0.05,0.08,0.6,4,120,120,1,1,1,120,True,2.3660336615,2.3660336615,,1.16623149207,2.3660336615,0.213362270473,0.0914071285679,analytics_diagnostic_only
dividend_call_r_030,dividend_call,call_interest_rate_sweep,r,0.03,call,1,1,0.03,0.08,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.03332536454,1.03332536454,,1.03332536454,1.23328217079,0.00418298403991,0.000103355416268,analytics_diagnostic_only
dividend_call_r_030,dividend_call,call_interest_rate_sweep,r,0.03,call,1,1,0.03,0.08,0.2,4,120,120,0.25,0.25,0.25,30,True,1.16536357838,1.16536357838,,1.03332536454,1.23328217079,0.0340179480351,0.00244737295903,analytics_diagnostic_only
