regime_id,option_type,grid,M,N,reference_M,query_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_abs_error,local_grid_spacing,boundary_consistent,delta_empirical_order,gamma_empirical_order
call_T200_s020_r010_q010,call,uniform,240,960,960,36,0.49306375009473413,True,0.0,4.0880405328999614e-05,5.106736492110908e-05,0.0006184477364132857,1.815749450189956e-05,3.0112655171531034e-05,0.0002923284728786343,0.0008808986237009986,0.01666666666666683,True,1.9988772241938162,1.8924516366193267
call_T200_s020_r010_q010,call,uniform,480,960,960,36,0.8739550419850275,True,0.0,1.0012593991748364e-05,1.303724612800039e-05,0.00014885501876960028,4.484605851096096e-06,7.563367115104536e-06,7.796152931999736e-05,0.0007500631544001823,0.008333333333333526,True,1.969762458154049,2.0547438174864094
call_T200_s020_r010_q010,call,sinh_strike_concentrated,120,960,960,36,0.3328762500314042,True,0.0,2.6032198171987986e-05,0.00010586413066687728,0.0008019296830008571,1.7849776402350073e-05,4.7014989538741496e-05,0.00034236788575116,0.001757816476217977,0.02475630219138636,True,nan,nan
call_T200_s020_r010_q010,call,sinh_strike_concentrated,240,960,960,36,0.573619915987365,True,0.0,6.590305345333114e-06,2.5242534449881893e-05,0.00018694306192168497,4.040224717558672e-06,9.655215694662103e-06,7.384156239954994e-05,0.004784522816448034,0.012639287576116764,True,2.068285177109611,2.1008768108983586
call_T200_s020_r010_q010,call,sinh_strike_concentrated,480,960,960,36,1.4088499579811469,True,0.0,1.2735177826461719e-06,4.339747679937833e-06,3.561103351445993e-05,8.033269994812088e-07,1.9995114077039103e-06,1.4783147915766411e-05,0.0016326288362411567,0.006344254832016727,True,2.540173700297149,2.3922027172178546
put_T050_s060_r005_q003,put,uniform,120,960,960,36,0.6948489580536261,True,0.0,0.00013959143828290443,0.00041715134166742107,0.0009059090158984873,6.304428913857937e-05,0.00030843622857025554,0.0005586501486294306,0.005154721984844346,0.033333333333333326,True,nan,nan
put_T050_s060_r005_q003,put,uniform,240,960,960,36,1.0240421659545973,True,0.0,3.48998642005216e-05,0.00010463550012917988,0.00023496118205912353,1.6913371112462337e-05,7.707574778887195e-05,0.00014744593478838747,0.005138877610751658,0.016666666666666663,True,1.9951984816054023,1.9469437330525012
put_T050_s060_r005_q003,put,uniform,480,960,960,36,1.7203002499882132,True,0.0,8.408416599214874e-06,2.601833218762728e-05,6.14955013134022e-05,3.974586670166799e-06,1.891611750052217e-05,3.912366311717998e-05,0.0028773071828022134,0.00833333333333336,True,2.007772012578028,1.93386964934149
put_T050_s060_r005_q003,put,sinh_strike_concentrated,120,960,960,36,0.579378499998711,True,0.0,4.396937060500983e-05,9.251451963798729e-05,0.0002605973950158269,3.581162314307655e-05,5.037755907466763e-05,0.0001657830654241183,0.013691296863726221,0.032066633743163875,True,nan,nan
put_T050_s060_r005_q003,put,sinh_strike_concentrated,240,960,960,36,0.8471625410020351,True,0.0,1.1229725921532707e-05,2.1751836773664657e-05,7.227621350680558e-05,8.392551946821029e-06,1.1965875698891147e-05,4.009825693968813e-05,0.007156894972456085,0.01632990544190782,True,2.0885425758450604,1.850229830855142
put_T050_s060_r005_q003,put,sinh_strike_concentrated,480,960,960,36,1.4810866250190884,True,0.0,2.190944254090721e-06,4.557809807403945e-06,1.3561507218762259e-05,1.6608996911275406e-06,2.4910820085178346e-06,7.931961883253844e-06,0.003605713590156878,0.008089536563847366,True,2.254724601666238,2.414003398788249
call_T050_s060_r005_q010,call,uniform,120,960,960,36,0.5682401249650866,True,0.0,0.00012596195072971106,0.0003319407252846407,0.00082670067952062,5.698841495208102e-05,0.0002492689071431024,0.0004871764319426743,0.005146937774462623,0.03333333333333344,True,nan,nan
call_T050_s060_r005_q010,call,uniform,240,960,960,36,0.8517915840493515,True,0.0,3.196414377115708e-05,8.170555948860958e-05,0.00021130269376623545,1.5443937718195242e-05,6.20886449672403e-05,0.00012754643934474543,0.0052384412988726314,0.01666666666666683,True,2.0224194901837222,1.968053913231542
call_T050_s060_r005_q010,call,uniform,480,960,960,36,1.4740306249586865,True,0.0,7.639500464035054e-06,2.0015529700823098e-05,5.567731121924879e-05,3.653592714048696e-06,1.5153225973434445e-05,3.371172449583726e-05,0.002044808072264148,0.008333333333333304,True,2.0293144505386564,1.9241497123685622
call_T050_s060_r005_q010,call,sinh_strike_concentrated,120,960,960,36,0.5204052500193939,True,0.0,4.252327565335001e-05,8.687230415205249e-05,0.0003627531176211285,3.415086958853875e-05,4.7194382932935804e-05,0.00018037788825439594,0.0078813214394855,0.05293156245944419,True,nan,nan
call_T050_s060_r005_q010,call,sinh_strike_concentrated,240,960,960,36,0.810563207953237,True,0.0,1.0936708001729745e-05,2.0223418815357164e-05,8.4015998767617e-05,7.99530128495957e-06,1.0992013051724304e-05,4.2907988004441804e-05,0.008425941572832274,0.02689278220625213,True,2.102869394498206,2.110252028617701
call_T050_s060_r005_q010,call,sinh_strike_concentrated,480,960,960,36,1.4643328749807552,True,0.0,2.1229644134868053e-06,4.200565802636724e-06,1.6223903766876546e-05,1.5830964907160362e-06,2.2536580976838576e-06,8.636187537131046e-06,0.0018970880528188516,0.01353600029768165,True,2.2673713363138397,2.372543079575406
call_T100_s060_r001_q006,call,uniform,120,960,960,36,0.5357849589781836,True,0.0,8.545691283037837e-05,0.00026336518261321773,0.00034023330525001505,3.806278494057159e-05,0.0001905742045688679,0.0002713346440433936,0.01599691174345086,0.033333333333333215,True,nan,nan
call_T100_s060_r001_q006,call,uniform,240,960,960,36,0.8217062080511823,True,0.0,2.1086165940070734e-05,6.487587221570834e-05,8.884968006250826e-05,1.0264495919795306e-05,4.714264838660348e-05,6.99806987549655e-05,0.0005455230021707003,0.016666666666666607,True,2.0213106962742775,1.9370858861364986
call_T100_s060_r001_q006,call,uniform,480,960,960,36,1.5245224589016289,True,0.0,4.875433992579392e-06,1.5915592190385297e-05,2.373356659091108e-05,2.324453514653298e-06,1.1282287457735422e-05,1.875976718303802e-05,0.0004218614418785016,0.008333333333333304,True,2.027241191693099,1.9044376616887977
call_T100_s060_r001_q006,call,sinh_strike_concentrated,120,960,960,36,0.5368055420694873,True,0.0,5.5185754915920704e-05,7.646559109431017e-05,0.0001404935451504441,4.610011236201248e-05,5.191803629409071e-05,9.796086337408161e-05,0.03583266304577526,0.0800471142432202,True,nan,nan
call_T100_s060_r001_q006,call,sinh_strike_concentrated,240,960,960,36,0.8375063749263063,True,0.0,1.3884223549032182e-05,1.766549069182055e-05,3.257800388190013e-05,1.0860431735155355e-05,1.1998906141118094e-05,2.2876000793745846e-05,0.0035574177977744093,0.039377591085647534,True,2.1138768692555643,2.1085337337093972
call_T100_s060_r001_q006,call,sinh_strike_concentrated,480,960,960,36,1.4935425410512835,True,0.0,2.702053900571766e-06,3.6357118204932704e-06,6.350365353346987e-06,2.157967396832041e-06,2.4456846844213964e-06,4.5730512913642215e-06,0.0004528137159702794,0.01984754510808573,True,2.280624067306176,2.3589867083668734
